,Title,Synopsis,Subject,ISBN
272,How to Save a Life (Hardback),"[<p><b>A heart stops. Their story starts.</b><br/><br/>Praise for Eva Carter's <i>How to Save a Life</i>:<br/><br/>'I couldn't put it down until I reached the final page' Beth O'Leary, author of <i>The Flatshare</i><br/><br/>'A sweeping, brave, epic love story. I was hooked from the very first page' Josie Silver, author of <i>One Day in December</i><br/><br/><b>Sometimes saving a life is only the start of the story . . .</b><br/><br/> It's nearly midnight on the eve of the millennium when eighteen-year-old Joel's heart stops. A school friend, Kerry, performs CPR for almost twenty exhausting minutes, ultimately saving Joel's life, while her best friend Tim freezes, unable to help.<br/><br/> That moment of life and death changes the course of all three lives over the next two decades: each time Kerry, Joel and Tim believe they've found love, discovered their vocation, or simply moved on, their lives collide again.<br/><br/><b>. . . Because bravery isn't just about life or death decisions; it's also about how to keep on living afterwards.</b></p>]",romantic-fiction,9781529038644
273,The Women Who Ran Away (Paperback),"[<p>Heart-felt secrets, shocking truths and one unforgettable adventure.<br/><br/>Deira isn't the kind of woman to steal a car. Or drive to France alone with no plan. But then, Deira didn't expect to be single. Or to suddenly realise that the only way she can get the one thing she wants most is to start breaking every rule she lives by. <br/><br/>Grace has been sent on a journey by her late husband, Ken. She doesn't really want to be on it but she's following his instructions, as always. She can only hope that the trip will help her to forgive him. And then - finally - she'll be able to let him go. <br/><br/>Brought together by unexpected circumstances, Grace and Deira find that it's easier to share secrets with a stranger, especially in the shimmering sunny countryside of Spain and France. But they soon find that there's no escaping the truth, whether you're running away from it or racing towards it ...</p>]",romantic-fiction,9781472254818
274,In the Time We Lost (Paperback),"[<p><b></b>How many times would you fall in love?<br/><br/>Luna Lark used to love her name, but that was before people started saying it differently.<b> </b><br/><br/><i>I'm so sorry, Luna.</i><br/><i>Are you alright, Luna? </i><br/><i>Everything will be okay, Luna. </i><br/><br/>Luna doesn't want pity, what she wants is a fresh start. Somewhere she can make headway on her next novel, mend her broken heart, and - most importantly - keep herself to herself. <br/><br/>For that Luna needs the most remote place she can find: Ondingside, a magical little island off the wild coast of Scotland. And when the town is cut off on her first night by a freak July snow storm it feels like fate. <br/><br/>But Luna soon realises that being a newcomer in a small town might not be the best way to blend in. People are curious about her - handsome, kind, coffee shop owner Beau in particular. Will history repeat itself or will they have a future?<br/><br/>Powerful, magical and utterly romantic,<i> In the Time We Lost</i> is an unforgettable love story that will take your breath away. Perfect for fans of Paige Toon and Giovanna Fletcher.</p>]",romantic-fiction,9780751571271
275,Never Greener (Paperback),"[<p><strong>Chosen for the <a href=""/booklist/409792/zoe-ball-bookclub-summer-2018"">Zoe Ball Book Club in 2018</a></strong></p>, <p>In her debut novel, actress and <em>Gavin &amp; Stacey</em> screenwriter Ruth Jones shows us the dangers of trying to recapture that which was once lost and failing to realise the beauty of what we already have.</p>, <p>The past has a habit of tracking us down. And tripping us up. When Kate was twenty-two, she had an intense and passionate affair with a married man, Callum, which ended in heartbreak. Kate thought she'd never get over it.</p>, <p>Seventeen years later, life has moved on - Kate, now a successful actress, is living in London, married to Matt and mother to little Tallulah. Meanwhile Callum and his wife Belinda are happy together, living in Edinburgh and watching their kids grow up. The past, it would seem, is well and truly behind them all.</p>, <p>But then Kate meets Callum again. And they are faced with a choice: to walk away from each other or to risk finding out what might have been. Second chances are a rare gift in life. But that doesn't mean they should always be taken...</p>, <p>Ruth Jones became a British screen favourite with the all-conquering, BAFTA-winning <em>Gavin &amp; Stacey, </em>the BBC comedy drama she co-wrote with fellow actor James Corden. Her other writing credits include the Sky series <em>Stella</em> which Jones also produced.</p>]",romantic-fiction,9781784162221
276,The Moon Sister - The Seven Sisters (Paperback),"[<p><i>The Moon Sister</i> is the fifth epic story in the Seven Sisters series by <a href=""/author/lucinda-riley/450443"">Lucinda Riley</a>.</p>, <p>After the death of her father - Pa Salt, an elusive billionaire who adopted his six daughters from around the globe - Tiggy D'Apliese , trusting her instincts, moves to the remote wilds of Scotland. There she takes a job doing what she loves; caring for animals on the vast and isolated Kinnaird estate, employed by the enigmatic and troubled Laird, Charlie Kinnaird.</p>, <p>Her decision alters her future irrevocably when Chilly, an ancient gipsy who has lived for years on the estate, tells her that not only does she possess a sixth sense, passed down from her ancestors, but it was foretold long ago that he would be the one to send her back home to Granada in Spain ...<br/>In the shadow of the magnificent Alhambra, Tiggy discovers her connection to the fabled gypsy community of Sacromonte, who were forced to flee their homes during the civil war, and to `La Candela' the greatest flamenco dancer of her generation.</p>, <p>From the Scottish Highlands and Spain, to South America and New York, Tiggy follows the trail back to her own exotic but complex past. And under the watchful eye of a gifted gypsy <i>bruja</i> she begins to embrace her own talent for healing.</p>, <p>But when fate takes a hand, Tiggy must decide whether to stay with her new-found family or return to Kinnaird, and Charlie . . .</p>, <p><i>The Moon Sister </i>follows<i><a href=""/book/the-seven-sisters/lucinda-riley/9781529003451""> The Seven Sisters</a>, <a href=""/book/the-storm-sister/lucinda-riley/9781447288589"">The Storm Sister</a>, <a href=""/book/the-shadow-sister/lucinda-riley/9781447288626"">The Shadow Sister</a> </i>and <i><a href=""/book/the-pearl-sister/lucinda-riley/9781509840076"">The Pearl Sister</a>. </i></p>]",romantic-fiction,9781509840113
277,Another Life (Hardback),"[<p><b>THE STUNNING AND DEVASTATING BBC2 BETWEEN THE COVERS PICK ABOUT LOVE, HOPE, SACRIFICE AND THE TIES THAT FOREVER BIND US</b><br/><br/><b>'Absolutely loved it. I thought about it as I went to bed, as I was washing up' </b>GIOVANNA FLETCHER<br/><b>'I loved it. Beautifully written, it made me think about love and breaking out into a world that is completely different' </b>ZOEY LYONS<b><br/> 'An astounding debut about sibling grief, religion and sliding doors love' </b>PANDORA SYKES<br/> <b>'This beautiful tale of love, loss and sacrifice will break your heart . . . Perfectly captures the agony of falling in love' </b><i>DAILY MAIL</i><br/> <i>_______</i><br/><br/> <i>She could be the girl dancing on tables one night, and the next she'd be hiding in the shadows.</i><br/><br/> <i>Just when I thought I understood her, she would melt away and become a completely new person, and I'd have to start all over again.</i><br/><br/> <i>That's how it was with Anna.</i><br/> <i>_______</i><br/><br/> Nick and Anna work the same summer job at their local cinema. Anna is mysterious, beautiful, and from a very different world to Nick.<br/><br/> She's grown up preparing for the end of days, in a tightly-controlled existence where Christmas, getting drunk and sex before marriage are all off-limits.<br/><br/> So when Nick comes into her life, Anna falls passionately in love. Their shared world burns with poetry and music, cigarettes and conversation - hints of the people they hope to become.<br/><br/> But Anna, on the cusp of adulthood, is afraid to give up everything she's ever believed in, and everyone she's ever loved. She walks away, and Nick doesn't stop her.<br/><br/> Years later, a tragedy draws Anna back into Nick's life.<br/> <b><br/> But rekindling their relationship leaves Anna and Nick facing a terrible choice between a love that's endured decades, and the promises they've made to others along the way.</b><br/> <i>_______<br/></i><br/><b>'A modern day <i>Atonement</i> meets David Nicholls. Beautifully written - I couldn't put it down' </b>EMMA GANNON<br/><br/><b>'</b><b>Prepare for all the feels in this heart-breaking must-read' </b><i>FABULOUS MAGAZINE<br/></i><br/><b>'Like if <i>One Day</i> had been written by Sally Rooney' </b>5***** READER REVIEW<br/><br/> <b>'An intricate story of love . . . A beautiful piece of writing' </b><i>SUNDAY EXPRESS</i><br/><br/> <b>'I was devastated to finish this book. It broke my heart, and if you're a fan of Sally Rooney, <i>Another Life</i> is something you'll want. The characters are real, the themes of grief, family and loss are so raw. Chapman is a master' </b><i>DAILY RECORD<br/> </i><b><br/> 'Fans of David Nicholls will adore this complex love story' </b><i>PRIMA<br/></i><b><br/> 'The<i> Romeo and Juliet</i> of our generation'</b> GILLIAN MCALLISTER<b><br/><br/> 'This book broke me in the best way. A heart wrenching portrait . . . It feels a bit like if <i>One Day</i> had been written by Sally Rooney' </b>5***** READER REVIEW<br/> <b><br/> 'This beautiful tale of love, loss and sacrifice will break your heart . . . Perfectly captures the agony of falling in love' </b><i>DAILY MAIL</i><b><br/><br/> 'Stunning. Written with such poignancy, full of nostalgia, unspoken longing and the agony of wrong turns' </b>BETH MORREY<br/><br/> <b>'A complex, beautiful, multilayered debut exploring love in all its forms' </b><i>WOMAN'S WEEKLY</i><br/><br/> '<b>I have a feeling that this will be one of my favourite books of 2021! I could not put it down, it's so, so good' </b>5***** READER REVIEW</p>]",romantic-fiction,9780241456910
278,Love in Colour (Hardback),"[<p><strong>Shortlisted for the <a href=""/category/cultural-highlights/book-awards/the-waterstones-book-of-the-year"">Waterstones Book of the Year</a> 2020</strong></p>, <p><b></b>Bolu Babalola finds the most beautiful love stories from history and mythology and rewrites them with incredible new detail and vivacity in this debut collection. Focusing on the magical folktales of West Africa, Babalola also reimagines iconic Greek myths, ancient legends from the Middle East, and stories from countries that no longer exist in our world.</p>, <p>A high-born Nigerian goddess feels beaten down and unappreciated by her gregarious lover and longs to be truly seen.</p>, <p>A young businesswoman attempts to make a great leap in her company, and an even greater one in her love life.</p>, <p>A powerful Ghanaian spokeswoman is forced to decide whether to uphold her family's politics, or to be true to her heart.</p>, <p>Whether captured in the passion of love at first sight, or realising that self-love takes precedent over the latter, the characters in these vibrant stories try to navigate this most complex human emotion and understand why it holds them hostage.</p>, <p>Moving exhilaratingly across perspectives, continents and genres, from the historic to the vividly current, <i>Love in Colour</i> is a celebration of romance in all of its forms.</p>]",romantic-fiction,9781472268860
279,The Wedding Dress (Paperback),"[<p><b>The story of a family and a special dress, handed down from mother to daughter, during times of fortune, loss, tragedy and victory, by the world's favourite storyteller, Danielle Steel.</b><br/><br/>The Deveraux family were among the most important members of 1920s San Francisco society, and the wedding of their daughter Eleanor to wealthy banker Alexander Allen would be the highlight of the 1929 social calendar. The wedding, held in the family's magnificent Pacific Heights mansion, was everything they'd hoped, and Eleanor's dress was a triumph. Designed by one of the most famous fashion houses in Paris, it was exquisite in every way. But the dream life, along with the most perfect honeymoon in Europe,   was about to come to an end when Alex received news of the Wall Street Crash. It appeared that the family had lost everything . . .<br/><br/>In the years that followed, the Deveraux lived through periods of huge social and political change. What helped to unite them was the beautiful wedding dress, first worn by Eleanor, which remained a family heirloom and continued to hold a special place in the hearts of a family desperate to survive the turmoil and changing fortunes of the times.</p>]",romantic-fiction,9781509878086
280,Bridgerton: When He Was Wicked (Bridgertons Book 6) - Bridgerton Family (Paperback),"[<p><b>The sixth novel in Julia Quinn's globally beloved and bestselling Bridgerton Family series, set in Regency times and now a series created by Shonda Rhimes for Netflix. Welcome to Francesca's story...</b></p>, <p>In every life there is a turning point. A moment so tremendous, so sharp and breath-taking, that one knows one's life will never be the same. For Michael Stirling, London's most infamous bachelor, that moment came the first time he laid eyes on Francesca Bridgerton.</p>, <p>After a lifetime of chasing women, of smiling slyly as they chased him, of allowing himself to be caught but never permitting his heart to become engaged, he took one look at Francesca Bridgerton and fell so fast and hard into love it was a wonder he managed to remain standing.</p>, <p>Unfortunately for Michael, however, Francesca's surname was to remain Bridgerton for only a mere thirty-six hours longer - the occasion of their meeting was, lamentably, a supper celebrating her imminent wedding to his cousin.</p>]",romantic-fiction,9780349429472
281,Girls of Paper and Fire - Girls of Paper and Fire (Paperback),"[<p><b>The mesmerising <i>New York Times</i> bestseller!<br/></b><br/><b>Each year, eight beautiful girls are chosen as Paper Girls to serve the king. It's the highest honour they could hope for . . . and the most demeaning. </b><b>This year, there's a ninth.</b><br/><b><br/>And instead of paper, she's made of <i>fire</i>.</b><br/><br/>'A timely reminder that, in the right hands, the fantasy genre has things to say about injustice and abuse of power in the real world' <i><b>Guardian</b></i><br/><br/>Lei is a member of the Paper caste, the lowest and most persecuted class of people in Ikhara. Ten years ago, her mother was snatched by the royal guards, and her fate remains unknown. Now, the guards are back and this time it's Lei they're after - the girl with the golden eyes, whose rumoured beauty has piqued the king's interest.<br/><br/>Over weeks of training in the opulent but oppressive palace, Lei and eight other girls learn the skills and charm that befit a king's consort. There, Lei does the unthinkable - she falls in love. Her forbidden romance becomes enmeshed with an explosive plot that threatens her world's entire way of life. Lei, still the wide-eyed country girl at heart, must decide how far she's willing to go for justice and revenge.</p>]",romantic-fiction,9781473692206
282,Worst Idea Ever (Hardback),"[<p>Best friends tell each other everything.</p>, <p>Or do they?</p>, <p>Georgia and Lydia are so close, they're practically sisters.</p>, <p>So when Lydia starts an online business that struggles, Georgia wants to help her - but she also understands Lydia's not the kind to accept a handout.</p>, <p>Setting up a fake Twitter account, Georgia hopes to give her friend some anonymous moral support by posing as a potential customer.</p>, <p>But then Lydia starts confiding in her new internet buddy and Georgia discovers she doesn't know her quite as well as she thought.</p>, <p>Georgia knows she should reveal the truth - especially when Lydia starts talking about <i>her</i> - but she just can't help herself.</p>, <p>Until Lydia reveals a secret that could not only end their friendship, but also blow up Georgia's marriage.</p>, <p>Georgia's in too deep.</p>, <p>But what can she save?</p>, <p>Her marriage, her friendship - or just herself?</p>]",romantic-fiction,9781405943369
283,Shadow of Night: All Souls 2 - All Souls (Paperback),"[<p>In a world of witches, daemons and vampires the fragile balance of peace is unravelling. Diana and Matthew's forbidden love has broken the laws dividing creatures. To discover the manuscript which holds their hope for the future, they must now travel back to the past.</p>, <p>When Diana Bishop, descended from a line of powerful witches, discovered a significant alchemical manuscript in the Bodleian Library, she sparked a struggle in which she became bound to long-lived vampire Matthew Clairmont. Now the coexistence of witches, daemons, vampires and humans is dangerously threatened.</p>, <p>Seeking safety, Diana and Matthew travel back in time to London, 1590. But they soon realise that the past may not provide a haven.</p>, <p>Reclaiming his former identity as poet and spy for Queen Elizabeth, the vampire falls back in with a group of radicals known as the School of Night. Many are unruly daemons, the creative minds of the age, including playwright Christopher Marlowe and mathematician Thomas Harriot.</p>, <p>Together Matthew and Diana scour Tudor London for the elusive manuscript Ashmole 782, and search for the witch who will teach Diana how to control her remarkable powers.</p>]",romantic-fiction,9780755384754
284,The Pearl Sister - The Seven Sisters (Paperback),"[<p><em>The Pearl Sister</em> is the fourth book in the number one international bestselling Seven Sisters series by Lucinda Riley.</p>, <p>CeCe D'Apliese has never felt she fitted in anywhere. Following the death of her father, the elusive billionaire Pa Salt - so-called by the six daughters he adopted from around the globe and named after the Seven Sisters star cluster - she finds herself at breaking point.</p>, <p>Dropping out of art college, CeCe watches as Star, her beloved sister, distances herself to follow her new love, leaving her completely alone. In desperation, she decides to flee England and discover her past; the only clues she has are a black-and-white photograph and the name of a woman pioneer who lived in Australia over one hundred years ago.</p>, <p>En-route to Sydney, CeCe heads to the one place she has ever felt close to being herself: the stunning beaches of Krabi, Thailand. There amongst the backpackers, she meets the mysterious Ace, a man as lonely as she is and whom she subsequently realizes has a secret to hide...</p>, <p>A hundred years earlier, Kitty McBride, daughter of an Edinburgh clergyman, is given the opportunity to travel to Australia as the companion of the wealthy Mrs McCrombie.</p>, <p>In Adelaide, her fate becomes entwined with Mrs McCrombie's family, including the identical, yet very different, twin brothers: impetuous Drummond, and ambitious Andrew, the heir to a pearling fortune.</p>, <p>When CeCe finally reaches the searing heat and dusty plains of the Red Centre of Australia, she begins the search for her past. As something deep within her responds to the energy of the area and the ancient culture of the Aboriginal people, her creativity reawakens once more. With help from those she meets on her journey, CeCe begins to believe that this wild, vast continent could offer her something she never thought possible: a sense of belonging, and a home...</p>]",romantic-fiction,9781509840076
285,Open Water: Signed Exclusive Edition (Hardback),"[<p><strong>Longlisted for the <a href=""/category/cultural-highlights/book-awards/the-desmond-elliott-prize"">Desmond Elliot Prize</a> 2021</strong></p>, <p><strong>Signed Edition - contains an exclusive short story called '<em>Prayer</em>'.</strong></p>, <p><strong>A standard edition is available <a href=""/book/open-water/caleb-azumah-nelson/9780241448779"">here</a>.</strong></p>, <p>A stunning, shattering debut novel about two Black British artists falling in and out of love.</p>, <p>Two young people meet at a pub in South East London. Both are Black British, both won scholarships to private schools where they struggled to belong, both are now artists - he a photographer, she a dancer - trying to make their mark in a city that by turns celebrates and rejects them. Tentatively, tenderly, they fall in love. But two people who seem destined to be together can still be torn apart by fear and violence.</p>, <p>At once an achingly beautiful love story and a potent insight into race and masculinity, <i>Open Water </i>asks what it means to be a person in a world that sees you only as a Black body, to be vulnerable when you are only respected for strength, to find safety in love, only to lose it. With gorgeous, soulful intensity, Caleb Azumah Nelson has written the most essential British debut of recent years.</p>]",romantic-fiction,2928377050818
286,The Secret Life of Albert Entwistle (Hardback),"[<p><b></b><b>'</b>A <b>rollicking </b>love story<b>' IAN McKELLEN</b><br/><br/>'<b>Wonderful</b> . . . An <b>utter treat</b>' <b>KATE MOSSE</b><br/><br/><b>'</b>Wonderful. Written with such a <b>good heart</b>, filled with<b> joy</b> and <b>strength</b> and <b>optimism</b> . . . <b>inventive</b> and<b> fun</b> but most importantly, <b>true</b>.' <b>RUSSELL T. DAVIES</b><br/><br/>'<b>Brilliant </b>. . . [I] <b>recommend to all</b>!'<b> MATT LUCAS</b><br/><br/><b>'I loved it! </b>Really <b>heart-warming and joyful,</b> but also so poignant. <b>I cannot recommend this book highly enough' </b><b>LORRAINE KELLY</b><br/><br/>'Albert is such an<b> endearing character</b> - flawed, funny and awkward, but completely relatable. A<b> wonderfully warm story </b>that completely drew me in' <b>RUTH HOGAN</b><br/><br/>'<b>Tender, witty, uplifting . . . I love it!<i>'</i> KATE EBERLEN </b><br/><br/><b>'</b>A<b> beautiful, wonderful, life-affirming </b>treat<b>' CHARLIE CONDOU</b><br/><br/>'You will<b> weep </b>and yet have your heart<b> filled with joy' ARLENE PHILLIPS</b><br/><br/>'I<b> raced through </b>this<b> heart-warming</b> story'<b> JUSTIN MYERS</b><br/><br/>'A<b> bright, clear, sharply intelligent</b> writer'<b> JENNY COLGAN</b><br/><br/> '<b>Sweet</b>, <b>lovely </b>and expected to be a <b>big summer hit</b>' <i><b>THE BOOKSELLER</b></i><br/><b></b><br/><b><br/>IT'S NEVER TOO LATE TO START YOUR LIFE'S BIG ADVENTURE . . . <br/></b><br/><i>Albert Entwistle was a postman. It was one of the few things everyone knew about him. And it was one of the few things he was comfortable with people knowing.</i><br/><br/>64-year-old Albert Entwistle has been a postie in a quiet town in Northern England for all his life, living alone since the death of his mam 18 years ago. He keeps himself to himself. He always has. But he's just learned he'll be forced to retire at his next birthday. With no friends and nothing to look forward to, the lonely future he faces terrifies him. He realises it's finally time to be honest about who he is. He must learn to ask for what he wants. And he must find the courage to look for George, the man that, many years ago, he lost - but has never forgotten . . .<br/><br/><i>Join Albert as he sets out to find the long-lost love of his life, and has an unforgettable and completely life-affirming adventure on the way . . . This is a love story the likes of which you have never read before! </i><br/><br/><br/><br/>'Prepare to<b> fall in love </b>with Albert Entwistle!<b> Touching </b>and <b>tender' </b><b>S. J. WATSON</b><br/><br/>'<b>Albert is delightful </b>and <b>charming</b>, and the book is too' <b>JONATHAN HARVEY</b></p>]",romantic-fiction,9781472275059
287,Orange: The Complete Collection: 1 (Paperback),[],romantic-fiction,9781626923027
288,Pandora's Jar: Women in the Greek Myths (Paperback),"[<p>The Greek myths are among the world's most important cultural building blocks and they have been retold many times, but rarely do they focus on the remarkable women at the heart of these ancient stories.</p>, <p>Stories of gods and monsters are the mainstay of epic poetry and Greek tragedy, from Homer to Aeschylus, Sophocles and Euripides, from the Trojan War to Jason and the Argonauts. And still, today, a wealth of novels, plays and films draw their inspiration from stories first told almost three thousand years ago. But modern tellers of Greek myth have usually been men, and have routinely shown little interest in telling women's stories. And when they do, those women are often painted as monstrous, vengeful or just plain evil. But Pandora - the first woman, who according to legend unloosed chaos upon the world - was not a villain, and even Medea and Phaedra have more nuanced stories than generations of retellings might indicate.</p>, <p>Now, in <em>Pandora's Jar</em>, Natalie Haynes - broadcaster, writer and passionate classicist - redresses this imbalance. Taking Pandora and her jar (the box came later) as the starting point, she puts the women of the Greek myths on equal footing with the menfolk. After millennia of stories telling of gods and men, be they Zeus or Agamemnon, Paris or Odysseus, Oedipus or Jason, the voices that sing from these pages are those of Hera, Athena and Artemis, and of Clytemnestra, Jocasta, Eurydice and Penelope.</p>]",spirituality-beliefs,9781509873142
289,Humankind: A Hopeful History (Paperback),"[<p><strong>Exclusive Edition - containing extra essay</strong></p>, <p>From 'the folk hero of Davos', Fox News antagonist and author of the international bestseller <em>Utopia for Realists</em> comes a radical history of our innate capacity for kindness. It's a belief that unites the left and right, psychologists and philosophers, writers and historians. It drives the headlines that surround us and the laws that touch our lives. From Machiavelli to Hobbes, Freud to Pinker, the roots of this belief have sunk deep into Western thought. Human beings, we're taught, are by nature selfish and governed by self-interest.</p>, <p><em>Humankind</em> makes a new argument: that it is realistic, as well as revolutionary, to assume that people are good. The instinct to cooperate rather than compete, trust rather than distrust, has an evolutionary basis going right back to the beginning of Homo sapiens. By thinking the worst of others, we bring out the worst in our politics and economics too. In this major book, international-bestselling author Rutger Bregman takes some of the world's most famous studies and events and reframes them, providing a new perspective on the last 200,000 years of human history.</p>, <p>From the real-life <em>Lord of the Flies</em> to the cooperation seen in the aftermath of the Blitz, the hidden flaws in the Stanford Prison Experiment to the true story of the Kitty Genovese murder, Bregman shows how believing in human kindness and altruism can be a new way to think - and act as the foundation for achieving true change in our society. It is time for a new view of human nature.</p>]",spirituality-beliefs,9781408898956
290,"The Boy, the Mole, the Fox and the Horse (Hardback)","[<p><strong>Winner of the <a href=""/category/cultural-highlights/book-awards/the-waterstones-book-of-the-year"">Waterstones Book of the Year</a> 2019<br/></strong></p>, <p><strong>Shortlisted for the <a href=""/category/cultural-highlights/book-awards/the-british-book-awards"">British Book Awards</a> Non-Fiction Lifestyle Book of the Year 2020</strong></p>, <p>Soothing balm for the soul in these turbulent, polarised times, former Spectator cartoonist Charlie Mackesy's tender illustrations have already become an online phenomenon. Now, his finest artwork has been gathered together in this beautifully produced volume, a book to treasure forever and a permanent reminder of the need for compassion and love in a world suffused with ignorance and hatred.</p>, <p>The boy, the mole, the fox and the horse are four friends who share a deep, unshakable bond. Through a series of brief but profound conversations, Mackesy teases universal truths and rich wisdom from the mouths of his characters, celebrating warmth and empathy in all its myriad forms. Exploring kindness through exquisite, sensitive artwork and delicate calligraphy, The Boy, the Mole, the Fox and the Horse is a moving study in friendship and the perfect gift for those people that you hold closest to your heart.</p>]",spirituality-beliefs,9781529105100
291,Ariadne (Hardback),"[<p>As Princesses of Crete and daughters of the fearsome King Minos, Ariadne and her sister Phaedra grow up hearing the hoofbeats and bellows of the Minotaur echo from the Labyrinth beneath the palace. The Minotaur - Minos's greatest shame and Ariadne's brother - demands blood every year.</p>, <p>When Theseus, Prince of Athens, arrives in Crete as a sacrifice to the beast, Ariadne falls in love with him. But helping Theseus kill the monster means betraying her family and country, and Ariadne knows only too well that in a world ruled by mercurial gods - drawing their attention can cost you everything.</p>, <p>In a world where women are nothing more than the pawns of powerful men, will Ariadne's decision to betray Crete for Theseus ensure her happy ending? Or will she find herself sacrificed for her lover's ambition?</p>, <p><em>Ariadne</em> gives a voice to the forgotten women of one of the most famous Greek myths, and speaks to their strength in the face of angry, petulant Gods. Beautifully written and completely immersive, this is an exceptional debut novel.</p>]",spirituality-beliefs,9781472273864
292,"Good Vibes, Good Life: How Self-Love Is the Key to Unlocking Your Greatness (Paperback)",[],spirituality-beliefs,9781788171823
293,Healing Is the New High: A Guide to Overcoming Emotional Turmoil and Finding Freedom (Paperback),"[<p>Achieve genuine inner healing, let go of past trauma and find clarity, resilience and freedom with #1 <em>Sunday Times</em> bestselling author Vex King.</p>, <p>Vex King developed inner healing techniques to help him find freedom from his troubled past and heal his emotional pain and trauma. Since then, he's helped hundreds of thousands of people to move forward on their own healing journey. In this book, Vex provides an experience of healing through the layers of the self, using yogic principles and unique practices. These techniques are simple, accessible and have the power to produce exceptional results. They include:</p>, <p>Taking charge of your inner healing is one of the greatest acts of self-love. By committing to this process and raising your vibration - the energy that courses through you and you radiate out into the world - you'll create space to welcome more joyful experiences into your life.</p>]",spirituality-beliefs,9781788174770
294,The Power of Now: (20th Anniversary Edition) - The Power of Now (Paperback),"[<p>The bestselling self-help book of its generation - which has now sold over a million copies in the UK alone. Eckhart Tolle demonstrates how to live a healthier and happier life by living in the present moment.</p>, <p>To make the journey into <i>The Power of Now</i> we will need to leave our analytical mind and its false created self, the ego, behind. Although the journey is challenging, Eckhart Tolle offers simple language and a question and answer format to show us how to silence our thoughts and create a liberated life.</p>, <p>Surrender to the present moment, where problems do not exist. It is here we find our joy, are able to embrace our true selves and discover that we are already complete and perfect. If we are able to be fully present and take each step in the Now we will be opening ourselves to the transforming experience of <i>The Power of Now</i>.</p>, <p>It is in your hands. Discover <i>The Power of Now</i>.</p>]",spirituality-beliefs,9780340733509
295,12 Rules for Life: An Antidote to Chaos (Paperback),"[<p><em>The truth is something that burns. It burns off dead wood</em>.</p>, <p>Happiness is a pointless goal. For Jordan B. Peterson, influential clinical psychologist and professor of psychology at the University of Toronto, our true aim should be meaning – not for its own sake, but as a defence against the suffering that is intrinsic to our existence.</p>, <p><em>12 Rules for Life</em> is a manifesto of personal change, a handbook to rewire our kneejerk beliefs and concepts of reward and truth. At its heart, this is a polemic of personal responsibility, twelve rules that form the scaffolding of profound growth.</p>, <p>Each rule is accompanied by vivid and often footnoted example, setting his thinking in context; the sum is a comprehensive, sometimes almost brutal, assault on everyday assumption.</p>, <p>Not without his critics, the often-outspoken Peterson rails against the world, from our inability to tell the absolute truth to our innate need to embrace high risk.</p>, <p>Declaring himself a “classic British liberal”, the author eschews conventional political or social convention to deliver a self-help guide like virtually no other, founded on a dynamic personal philosophy drawn from both academia and experience.</p>, <p>Jordan B. Peterson originally rose to prominence via his rather more academic <a href=""https://www.waterstones.com/book/maps-of-meaning/jordan-b-peterson/9780415922227""><em>Maps of Meaning</em></a> and is now seen as an influential figure on a number of internet platforms, not least his own YouTube series of lectures. </p>]",spirituality-beliefs,9780141988511
296,"How to Argue With a Racist: History, Science, Race and Reality (Paperback)","[<p><strong><a href=""/campaign/books-of-the-month#non-fiction"">Waterstones Non-Fiction Book of the Month</a> for February 2021</strong></p>, <p><strong>Updated edition includes a new Preface from the author</strong></p>, <p><strong>A BBC Radio 4 Book of the Week</strong></p>, <p>Racist pseudoscience may be on the rise, but science is no ally to racists. Instead science and history can be powerful allies against bigotry, granting us the clearest view of how people actually are, rather than how we judge them to be.</p>, <p><em>How to Argue With a Racist </em>dismantles outdated notions of race by illuminating what modern genetics can and can't tell us about human difference. It is a vital manifesto for a twenty-first century understanding of human evolution and variation, and a timely weapon against the misuse of science to justify racism.</p>]",spirituality-beliefs,9781474611251
297,Life Lessons (Hardback),"[<p><em>'One small soul like me won't make much difference.'</em> - Captain Tom</p>, <p>If Captain Tom's big heart and generosity of spirit helped see us through difficult days, this was his parting gift.</p>, <p>Full of the wit, warmth and wisdom that made him so special, his reflections and guiding principles form a long life, well lived; <em>Life Lessons</em> will be a source of reassurance, hope, and encouragement for generations to come.</p>, <p>And a reminder, whenever times are hard, that tomorrow will be a good day.</p>]",spirituality-beliefs,9780241504017
298,Go Big: How To Fix Our World: Signed Edition (Hardback),"[<p><strong>Signed Edition<br/></strong></p>, <p><strong>A standard edition is available <a href=""/book/go-big/ed-miliband/9781847926241"">here</a>.</strong></p>, <p>Good news: the solutions to our problems already exist. </p>, <p>Great news: a once-in-a-generation appetite for change means we can make them happen.</p>, <p>The challenges we face are daunting, but in Go Big Ed Miliband shows that the scale of what is possible is far greater. We are at a rare moment in history when people everywhere see the need for big change. Meanwhile, practical and proven ways exist for tackling everything from inequality to the climate crisis - if you know where to look and have the courage to think big.</p>, <p>Ed Miliband has captured imaginations with his award-winning hit podcast Reasons to be Cheerful, which discovers brilliant people all around the world who are successfully fixing problems, transforming communities and pioneering global movements. From a citizens' assembly in Mongolia to the UK's largest walking and cycling network in Greater Manchester, from flexible working in Finland to the campaign for the first halal Nando's in Cardiff, Go Big draws on the most imaginative and ambitious of these ideas to provide a vision for how to remake society.</p>, <p>The future is not yet written. It's our job to write it. Go Big shows us how.</p>]",spirituality-beliefs,2928377059507
